title
Toy Story
Jumanji
Grumpier Old Men
Father of the Bride Part II
Heat
Sabrina
Sudden Death
GoldenEye
The American President
Dracula: Dead and Loving It
Balto
Nixon
Cutthroat Island
Casino
Sense and Sensibility
Four Rooms
Ace Ventura: When Nature Calls
Money Train
Get Shorty
Copycat
Assassins
Powder
Leaving Las Vegas
Now and Then
The City of Lost Children
Dangerous Minds
Twelve Monkeys
Babe
Dead Man Walking
It Takes Two
Clueless
Dead Presidents
Mortal Kombat
To Die For
Se7en
Pocahontas
The Usual Suspects
Mighty Aphrodite
The Postman
The Indian in the Cupboard
Eye for an Eye
Mr. Holland's Opus
Don't Be a Menace to South Central While Drinking Your Juice in the Hood
Friday
From Dusk Till Dawn
Screamers
The Crossing Guard
The Juror
Things to Do in Denver When You're Dead
White Squall
Dunston Checks In
Black Sheep
Nick of Time
Mary Reilly
Beautiful Girls
Broken Arrow
La Haine
City Hall
Bottle Rocket
Happy Gilmore
The Bridges of Madison County
Muppet Treasure Island
Braveheart
Taxi Driver
Rumble in the Bronx
Boomerang
Chungking Express
Flirting with Disaster
Down Periscope
Up Close & Personal
The Birdcage
Bad Boys
The Basketball Diaries
Apollo 13
Rob Roy
Batman Forever
Belle de Jour
Canadian Bacon
Casper
Clockers
Crimson Tide
Crumb
Desperado
Devil in a Blue Dress
Die Hard: With a Vengeance
The Doom Generation
First Knight
Free Willy 2 - The Adventure Home
Hackers
Johnny Mnemonic
Judge Dredd
Kids
Living in Oblivion
Lord of Illusions
Mallrats
Mighty Morphin Power Rangers: The Movie
The Net
Nine Months
The Prophecy
Safe
The Scarlet Letter
Smoke
Something to Talk About
Species
Strange Days
The Umbrellas of Cherbourg
Total Eclipse
"To Wong Foo, Thanks for Everything! Julie Newmar"
Under Siege 2: Dark Territory
A Walk in the Clouds
Waterworld
Before Sunrise
Billy Madison
The Cure
Clerks
Don Juan DeMarco
Disclosure
Drop Zone
Death and the Maiden
Dolores Claiborne
Dumb and Dumber
Eat Drink Man Woman
Exotica
Ed Wood
French Kiss
A Goofy Movie
Hoop Dreams
Heavenly Creatures
Immortal Beloved
Heavyweights
I.Q.
Interview with the Vampire
Just Cause
Kiss of Death
Star Wars
Little Women
A Little Princess
Like Water for Chocolate
